code,description
E65,"Anatomical Gifts Body Donations Bone Banks Bone Marrow Donations Ear Banks Eye Banks Organ Banks Organ Donations Tissue Banks Tissue Donations Organizations that accept donated hearts, kidneys, livers, skin and other organs and tissue for use in transplant operations."
G30,"Bladder Cancer Bone Cancer Burkitts Lymphoma Cancer Carcinoma Cervical Cancer Colon Cancer Colorectal Cancer Fallopian Tube Cancer Kaposi Sarcoma Leukemia Liver Cancer Lung Cancer Lymphoma Melanoma Multiple Myeloma Oral Cancer Ovarian Cancer Pagets Disease Pancreatic Cancer Prostate Cancer Rectal Cancer Renal Cancer Sarcoma Skin Cancer Stomach Cancer Testicular Cancer Uterine Cancer Vaginal Cancer Vulva Cancer Womens Cancer Voluntary health organizations active in the prevention or treatment of cancer. The associated medical specialty is medical oncology, a subspecialty of internal medicine."
G44,"Anuria Cystic Kidney Fanconi Syndrome Glomerulonephritis Hemolytic-Uremic Syndrome Hepatorenal Syndrome Hydronephosis Kidney Calculi Kidney Cortex Necrosis Kidney Failure Kidney Papillary Necrosis Kidney Stones Nephritis Nephrocalcinosis Nephrosclerosis Nephrosis Nephrotic Syndrome Perinephritis Primary Hyperoxaluria Pyelitis Pyelonephritis Real Artery Obstruction Renal Failure Renal Hypertension Renal Osteodystrophy Uremia Voluntary health organizations active in the prevention or treatment of diseases or conditions that affect the kidneys. The related medical specialty is nephrology, a subspecialty of internal medicine."
F33,"Boys Ranches Group Homes, Housing Mental Health Related Transitional Residential Mental Health Care Residential Treatment Facilities, Mental Health Related Organizations that provide a therapeutic living environment in community-based facilities for adults or children with emotional and/or behavioral problems who require a structured, supervised treatment program which may include individual, group, family and other treatment modalities as appropriate."
F53,"Anorexia Binge Eating Boulimia Bulimarexia Bulimia Dysorexia Eating Addictions Eating Disorders Hyperphagia Obesity Overeating Pica Rumination Disorder Organizations that provide diagnostic and treatment services for individuals who have anorexia nervosa, bulimarexia, bulimia or a related eating disorder."
G54,"Grand Mal Haut Mal Petit Mal Voluntary health organizations active in the prevention or treatment of epilepsy, a recurrent paroxysmal disorder of cerebral function that is characterized by sudden brief interruptions in or complete loss of consciousness, motor activity and/or sensory phenomena."
E91,"Adult Family Care Homes Alzheimers Homes Chronic Care Homes Convalescent Facilities Convalescent Hospitals Extended Care Facilities Geriatric Centers Homes for Aging Intermediate Care Facilities Long Term Care Facilities Long Term Custodial Care Long-Term Care Facilities Long-Term Custodial Care Nursing Care Nursing Home Facilities Nursing Homes Rest Homes Skilled Nursing Facilities Inpatient facilities, also known as convalescent hospitals and nursing homes, that provide skilled nursing and personal care over an extended period of time for people who are no longer in an acute phase of their illness."
G81,"Acquired Immunodeficiency Syndrome HIV HIV/AIDS HIV Related Diseases Human Immunodeficiency Virus Voluntary health organizations active in the prevention or treatment of AIDS, a disease that impairs the functioning of the bodys immune system, leaving affected individuals vulnerable to illnesses that would not otherwise occur."
F99," Organizations that clearly provide mental health services where the major purpose is unclear enough that a more specific code cannot be accurately assigned."
G94," Organizations that represent physicians who have advanced training in the medical specialty which provides preventive, diagnostic and treatment services for elderly individuals who have diseases and conditions that are associated with the aging process."
F22,"AA Addiction Alanon Alateen Alcohol Abuse Counseling Alcohol Abuse Day Treatment Alcohol Abuse Half-Way Houses Alcohol Abuse Hotlines Alcohol Detoxification Alcoholics Anonymous Alcoholism Drop-In Services Alcoholism Recovery Group Homes Alcoholism Recovery Hospitals Alcoholism Rehabilitation Alcohol-Related Crisis Intervention Assessment for Substance Abuse Central Intake/Assessment for Alcohol Abuse Central Intake/Assessment for Drug Abuse Central Intake/Assessment for Substance Abuse Chemical Dependency Recovery Hospitals Cocaine Anonymous Drug Abuse Counseling Drug Abuse Day Treatment Drug Abuse Drop-In Services Drug Abuse Half-Way Houses Drug Abuse Hotlines Drug Abuse Maintenance Treatment Drug Abuse Recovery Group Homes Drug Abuse Rehabilitation Drug Addiction Drug Dependency Recovery Hospitals Drug Detoxification Drug-Related Crisis Intervention Emergency Alcoholism Services Emergency Drug Abuse Services Heroin Detoxification Inpatient Alcoholism Treatment Inpatient Drug Abuse Treatment Inpatient Substance Abuse Hospitals Methadone Detoxification Naranon Narcotics Anonymous Outpatient Alcohol Abuse Treatment Outpatient Drug Abuse Treatment Outpatient Substance Abuse Treatment Relapse Prevention/Transitional Substance Abuse Residential Alcoholism Treatment Residential Dug Abuse Treatment Residential Substance Abuse Treatment Sober Living Centers Sobering Up Stations Substance Abuse Counseling Substance Abuse Crisis Intervention Substance Abuse Day Treatment Substance Abuse Drop-In Services Substance Abuse Half-Way Houses Substance Abuse Hospitals Substance Abuse Hotlines Substance Abuse Maintenance Treatment Substance Abuse Recovery Group Homes Substance Abuse Rehabilitation Substance Dependence Supportive Recovery Homes Transitional Housing for Alcohol Abuse Transitional Housing for Drug Abuse Transitional Housing for Substance Abuse Transitional Residential Alcohol Abuse Services Transitional Residential Drug Abuse Services Transitional Residential Substance Abuse Services Twelve-Step Substance Abuse Mutual Support Groups Organizations that provide inpatient, outpatient or residential treatment services for individuals who have a physical and/or psychological dependency on alcohol and/or drugs."
I20,Anti-Crime Patrols Arson Prevention Block Parents Block Watch Child Finger Television Citizen Crime Reporting Citizen Patrols Citizens Crime Watch Civilian Crime Patrols Community Watch Crime Reporting Crime Prevention Crime Watch Crime Stoppers Crimebusters Crimestoppers Crimewatch Dangerous Weapons Regulation and Control Firearms Control Fraud Reporting Gun Control Hate Crime Prevention Home Alert Kidnapped Children Missing Children Missing Persons Neighborhood Watch Online Crime Prevention Self-Defense Tip Lines Violence Prevention Organizations that provide information and services that help the public protect themselves from crime or which prevent its occurrence. Also included are organizations that provide a mechanism for reporting crimes. 
G40,Alopecia Antitrypsin Deficiency Bedwetting Bladder Diseases Cystitis Diseases of the Spleen Dwarfism Dystrophic Epidermolysis Bullosa Endometriosis Enuresis Epididymitis Erectile Dysfunction Female Genital Diseases Genitourinary Diseases Hansens Disease Hematuria Hemoglobinuria Hepatitis Hydrocele Impotence Incontinence Infertility Leprosy Liver Diseases Male Genital Diseases Menopausal Disorders Oliguria Ovarian Cysts Penile Diseases Polyuria Prostatic Diseases Psoriasis Renal Failure Sjogrens Syndrome Skin Diseases Thyroid Diseases Ureteral Diseases Urethral Diseases Urinary Tract Infections Urination Disorders Urogenital Diseases Uterine Diseases Vaginal Diseases Vesico-Ureteral Reflux Vitiligo Vulvar Diseases Voluntary health organizations active in the prevention or treatment of diseases and conditions that affect specific organs or organ systems in the body. 
F40,"Crisis Intervention Groups Telephone Crisis Hotlines Helplines Hotlines Mental Health Hotlines Suicide Prevention Organizations that provide in-person or telephone assistance for people who are in acute emotional distress; who are a danger to themselves or to others; who are having suicidal feelings; or who are hysterical, frightened or otherwise unable to cope with a problem that requires immediate action. "
G48,Basal Ganglia Diseases Brain Damage Brain Diseases Brain Injury Brain Tumor Cerebellar Diseases Cerebrovascular Disorders Chorea Gravidarum Dejerine-Roussy Syndrome Encephalomalacia Hallervorden-Spatz Syndrome Head Injury Headache Disorders Intracranial Hypertension Intracranial Hypotension Migraine Seitelbergers Disease Thalamic Diseases Traumatic Brain Injury Voluntary health organizations active in the prevention or treatment of diseases or conditions including brain injuries that affect the brain.
F54,"Compulsive Gambling Gamblers Anonymous Pathological Gambling Organizations that provide emotional support, information and guidance for people who are having difficulty controlling their compulsion to gamble."
I43,"Correctional Education Family Visitation Family Visitation Support Inmate Counseling Inmate Pre-Release Reentry Inmate Support Inmate Visitation Inmate Visiting Transportation Jail Visitation Offender Advocates Pregnant/Parenting Inmate Support Prison Libraries Prison Ministries Prison Visitation Prisoner Locator Volunteer Inmate Visiting Volunteer Jail Visiting Organizations that provide emotional support, friendship, advice and guidance or other types of support for inmates while they are incarcerated and/or which facilitate contact between inmates and family members."
G61,"Bronchial Asthma Status Asthmaticus Voluntary health organizations active in the prevention or treatment of asthma, a disorder of the bronchial system that is characterized by labored breathing and wheezing."
G20,Achronplasia Alagille Syndrome Albinism Amaurotic Familial Idiocy Bardet-Biedl Syndrome Birth Defects Cerebral Palsy Charcot-Marie Disease Charcot-Marie-Tooth Disease Chromosome Disorders Clubfoot Coffin-Lowrey Syndrome Congenital Defects Cri-du-Chat Syndrome Crying Cat Syndrome Cryptorchidism Cystic Fibrosis Cytochrome-c Oxidase Deficiency Dandy-Walker Syndrome De Lange Syndrome Developmental Coordination Disorder Factor X Deficiency Fetal Alcohol Syndrome Fragile X Syndrome Friedreich Ataxia Genetic Diseases Hemophilia Hereditary Diseases Huntingtons Disease Jervell-Lange Nielsen Syndrome Kartagener Syndrome Klinefelter Syndrome Laurence-Moon Syndrome Leigh Disease Lesch-Nyhan Syndrome Littles Disease Lynch Syndrome March of Dimes Marfan Syndrome Martin-Bell Syndrome Mental Retardation Motor Skills Disorder Neurofibromatosis Oral-Facial Clefts Phenylketonuria PKU Porphyria Prader-Willi Syndrome Pseudoxanthoma Elasticum Pyruvate Carboxylase Deficiency Disease Pyruvate Dehydrogenase Complex Deficiency Disease Rett Disorder Rett Syndrome Retts Disorder Retts Syndrome Rett's Disorder Rett's Syndrome Rh Disease Romano-Ward Syndrome Rubinstein-Taybi Syndrome Sickle Cell Spina Bifida Sudden Infant Death Tay Sachs Testicular Feminization Syndrome Thalassemia Turner Syndrome Turners Syndrome WAGR Syndrome Werner Syndrome Williams Syndrome Xeroderma Pigmentosum Voluntary health organizations active in the prevention or treatment of illnesses or conditions that are hereditary and passed from parent to offspring. 
I70,"Abuse of the Elderly Abuse Prevention Crimes Against the Elderly Domestic Violence Elder Abuse Granny Bashing Granny Dumping King Lear Syndrome Violence in the Family Violence Prevention Violent Families Organizations that attempt to reduce the incidence of child abuse, elder abuse and spouse abuse in family settings through educational interventions which may focus on children of various ages, parents, people who work with families and/or the community at large."
G84,"Aspergers Disorder Autistic Disorder Childhood Disintegration Disorder Pervasive Developmental Disorder Voluntary health organizations active in the prevention or treatment of autism, a developmental disability, usually evident by age three, which affects a childs ability to communicate, understand language, play and relate to others."
G41,Achromatic Vision Amaurosis Amblyopia Ametropia Aniseikonia Anisometropia Asthenopia Astigmatism Blindness Choroid Diseases Color Blindness Conjunctival Diseases Corneal Diseases Diochromatic Vision Diplopia Double Vision Duane Retraction Syndrome Eyelid Diseases Glaucoma Hemeralopia Hemianopsia Hyperopia Lacrimal Apparatus Diseases Lens Diseases Low Vision Macular Degeneration Miller Fisher Syndrome Myopia Night Blindness Nyctalopia Ocular Hypertension Ocular Hypotension Ocular Motility Disorders Optic Nerve Diseases Orbital Diseases Presbyopia Proliferative Vitreoretinopathy Pupil Disorders Refractive Errors Retenal Diseases Retinal Dysplasia Retinitis Pigmentosa Retinitis Scleral Diseases Scleritis Scotoma Scotoma Strabismus Tolosa-Hunt Syndrome Tunnel Vision Uveal Diseases Uvenitis Vision Disorders Vitreous Detachment Voluntary health organizations active in the prevention or treatment of blindness and diseases or other conditions that affect the eyes. The associated medical specialty is ophthalmology.
G98,"Neonatology Perinatology Organizations that represent physicians who have advanced training in the biological, social and environmental factors that have an influence on a developing child and expertise in diagnosing and treating acute and chronic diseases that are common to children and youth."
G50,"ALS Amyotrophic Lateral Sclerosis Arnold Chiari Syndrome Arthrogryposis Atrophic Muscular Disorders Autonomic Nervous System Diseases Batten Disease Bell Palsy Bell's Palsy Bone Diseases Bursitis Cartilage Diseases Central Nervous System Diseases Chronic Fatigue Syndrome Chronobiology Disorders Circadian Rhythm Sleep Disorders Connective Tissue Diseases De Quervain Disease Dysautonomia Fibromyalgia Guillain-Barre Syndrome Hemiplegia Jet Lag Syndrome Joint Diseases Lou Gehrig Disease Miller Fisher Syndrome Mitochondrial Myopathies MS Multiple Sclerosis Muscular Diseases Muscular Dystrophy Muscle Diseases Musculoskeletal & Connective Tissue Diseases Musculoskeletal Diseases Myasthenia Gravis Myoclonus Myositis Nervous System Diseases Nervous System Trauma Neurological Diseases Osteoporosis Parkinsons Disease Rheumatic Diseases Scheuermann Disease Scoliosis Spinal Cord Injury Spinal Diseases Spinal Disorders Spondylitis Spondylolisthesis Tendinitis Tennis Elbow Tenosynovitis Tietzes Syndrome Tuberous Sclerosis Voluntary health organizations active in the prevention or treatment of diseases or conditions that affect the nerves, muscles or bones. "
I83,Class Action Lawsuits Public Interest Law Public Interest Litigation Organizations that primarily handle class action litigation and lawsuits related to issues of interest to the public in general rather than assisting individuals.
I30,"Detention of Alleged Law Violators Detention of Law Violators Jails Penitentiaries Prisons Privately operated, community-based nonprofit correctional facilities for adults or juveniles who have been sentenced to imprisonment after conviction for an offense. These facilities serve the same function as government-operated programs, and most operate on a contract with the county or the state."
G70,"Abdominal Pain Biliary Tract Diseases Colitis Crohns Disease Curlings Ulcer Diarrhea Digestive System Diseases Diverticulosis Duodenal Ulcer Esophageal Diseases Gallbladder Diseases Gastroenteritis Gastrointestinal Diseases Hernia Ileitis Intestinal Diseases Jaundice Mesenteric Vascular Occlusion Pancreatic Diseases Pancreatic Diseases Peptic Ulcer Peritoneal Diseases Protein-Losing Enteropathies Stomach Diseases Stomach Ulcer Visceroptosis Voluntary health organizations active in the prevention or treatment of diseases and conditions such as abdominal pain, ulcers, diarrhea or jaundice that affect the digestive system including the stomach, bowels, liver, gallbladder and related organs. The related medical specialty is gastroenterology, a subspecialty of internal medicine."
B99,Faculty Groups Organizations that clearly provide education services where the major purpose is unclear cannot be accurately assigned.
